,artist.name,artist.hotness,Songs,Year,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotness,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,Time
9141,Nightwish,0.580345271,Kuolema Tekee Taiteilijan,2004,0.215,2.18714,0.218,0.50484,238.54975,0.067,0.801989216,2,0.119,37.15735675,"Kitee, Finland",-63.93335787,-12.967,0,0.294,133610,Once,ARRHD2X1187B9B389E,,205.473,0.218,0.50484,139.482,sympho black metal,0.999713741,5,0.359,00s
9144,John Fogerty,0.526549035,Soda Pop,1986,0.211,2.3981,0.998,1.26035,354.35057,3.988,0.733637825,4,0.457,37.8695,"Berkeley, CA",-122.2705,-7.333,0,0.455,202553,Eye Of The Zombie,ARSAIUN1187FB398D3,0.408110884,337.56,0.145,1.26035,105.131,roots rock,0.918034159,4,0.685,80s
9149,DJ Harry,0.315690277,Other Side of You,2004,0.26,1.8754,0.341,0.52094,327.47057,0,0.487077751,7,0.772,37.15735675,Not available,-63.93335787,-6.152,1,0.499,748788,Collision,AR20YMY1187B990B28,0,314.091,0.541,0.22085,133.343,trip hop,1,5,0.711,00s
9161,Precious Bryant,0.329391949,Blues All Around My Bed,2002,1,0.09295,1,0.09295,154.30485,0.206,0.462996094,9,0.71,35.21962,North Carolina,-80.01955,-11.301,1,0.609,485079,Fool Me Good,ARWL4661187FB4BE9C,0,148.712,0.374,0.09295,179.081,blues,1,1,0,00s
9162,Leona Naess,0.39301573,Paper Thin,2000,0.288,0.60625,0.495,0.12469,645.38077,11.389,0.627185249,9,0.494,37.15735675,"London, England",-63.93335787,-12.793,0,0.446,22385,Comatised,ARQI8NP1187B9AC77E,0.548718667,630.886,0.024,0.12469,120.36,chanson,0.935731588,4,0.803,00s
9165,D.R.S.,0.350749839,Gangsta Lean (Gangstapella),1993,0.313,0.56403,1,0.20139,237.16526,0.351,0.510243089,5,0.621,31.1689,Texas,-100.07715,-22.258,0,0.499,229899,Gangsta Lean,ARMRQD21187B9908AF,,225.768,0.612,0.20139,165.168,rap,1,3,0.862,90s
9166,Galactic,0.458987258,Cafe deClouet,1998,0.106,1.53193,0.796,0.29505,21.39383,0.171,0.690492032,5,0.539,37.15735675,Not available,-63.93335787,-30.249,1,0.342,280637,Crazyhorse Mongoose,ARFD4A21187FB3B276,,21.394,0.143,0.08284,102.841,jazz funk,1,3,0.681,90s
9168,Information Society,0.430897609,Slipping Away/Here Is Kazmeyer,1990,0.059,0.73077,0.876,0.04029,251.61098,6.153,0.567510986,9,0.578,37.15735675,"Minneapolis, MN",-63.93335787,-13.573,1,0.606,138445,Hack,ARUY6971187FB3AB45,0,233.006,0.682,0.04029,90.011,freestyle,0.926334388,4,0.751,90s
9169,Perrey And Kingsley,0.338414819,The Unidentified Flying Object,1988,0.684,0.66969,0.684,0.66969,119.64036,0,0.411421048,5,0.723,37.15735675,Not available,-63.93335787,-12.12,1,0.492,492999,The Out Sound From Way In!,ARMNSQF1187FB57CB7,,108.147,1,0.42753,140.638,easy listening,0.947930118,1,0,80s
9173,Hatebreed,0.546383748,Destroy Everything (Album Version),2006,0.772,0.6591,0,0.6591,209.05751,0,0.832757431,7,0.115,41.30711,"New Haven, CT",-72.92496,-3.08,1,0.485,141769,Supremacy,ARWMY7E1187B9B7049,0.259231545,206.582,0.689,0.3857,110.016,hardcore punk,1,4,0.981,00s
9174,Anti-Flag,0.524378988,The Gre(A)t Depression,2009,0,0.54738,0,0.54738,188.55138,0,0.844039532,11,1,37.15735675,"Pittsburgh, PA",-63.93335787,-5.032,1,0.762,468835,The People or The Gun,ARD2NDU1187B99B615,0.613814444,177.975,0,0.34287,146.141,oi,0.999917452,1,0,00s
9176,Less Than Jake,0.554564302,Automatic,1996,0.468,0.45268,0.468,0.45268,125.28281,0,0.843322339,2,0.635,37.15735675,"Gainesville, FL",-63.93335787,-4.285,1,0.534,864,Losing Streak,AR2SMD91187B9B0582,0.640799205,125.283,0.399,0.22287,133.05,ska punk,0.999656278,1,0,90s
9177,Anti-Flag,0.524378988,I Don't Wanna be a War Hero,2003,0.227,0.49937,0.227,0.49937,99.00363,0,0.844039532,1,0.231,37.15735675,"Pittsburgh, PA",-63.93335787,-6.459,1,0,175909,Live at the Fireside Bowl,ARD2NDU1187B99B615,0.419674279,99.004,0,0.22269,106.065,oi,0.999917452,1,0,00s
9183,T.G. Sheppard,0.343281882,You're My First Lady,1992,0.282,0.57847,0.632,0.20216,210.75546,0.143,0.449323615,7,0.643,35.82213,"Humboldt, TN",-88.91599,-18.261,1,0.758,200689,The Very Best Of,ARGIABO1187FB4B3B5,,188.999,0.689,0.20216,157.968,country rock,0.998410062,4,0.701,90s
9186,Julien Clerc,0.364384925,Ma PrA(c)fA(c)rence (Live),1994,0.475,1.19859,0.543,0.57732,266.29179,0,0.58547954,8,0.125,46.71067,FR,1.71819,-12.623,1,0.448,28667,Olympia 94,ARLZ6BF1187FB3DD6A,,266.292,0.074,0.27215,97.007,chanson,1,4,0.352,90s
9187,The Jason Bonham Band,0.307366234,Hold On,1992,0.149,0.79643,0.405,0.36019,260.51873,5.468,0.439663711,0,0.609,40.71455,NY - New York City,-74.00712,-8.013,1,0.533,291718,MAD HATTER,ARDIBRT1187B9AF176,0,256.946,0.091,0.14048,142.26,hard rock,1,4,0.559,90s
9188,Busta Rhymes,0.539644312,We Got What You Want,2001,0.141,0.53878,0.482,0.20284,231.49669,0,0.809828092,8,0,37.15735675,"East Flatbush, Brooklyn, NY",-63.93335787,-5.349,0,0,556995,Genesis,AROYELE12454A43342,,227.451,0.61,0.03486,176.83,hip hop,1,3,1,00s
9191,VHS Or Beta,0.421973968,Forever,2004,0.828,0.62461,1,0.14994,343.562,0.084,0.67161064,8,0.637,38.25486,"Louisville, KY",-85.7664,-5.82,0,0.452,24380,Night On Fire,ARWG6FM1187B9892B8,0.527555356,324.11,0.737,0.14994,123.847,disco,0.97641938,4,1,00s
9192,Vixen,0.396018754,One Night Alone,1988,0.002,1.28789,0.771,0.8249,229.642,2.891,0.606102515,0,0.725,37.15735675,California - LA,-63.93335787,-12.818,1,0.635,22583,Vixen,ARAK9H51187B98DA9F,0.682218135,212.648,0.16,0.58592,129.846,gabba,0.907332249,4,0,80s
9202,Headliners,0.326235946,90er,2006,0.032,0.43276,0.913,0.08045,347.79383,0.16,0.530631077,8,0.766,37.15735675,Not available,-63.93335787,-4.281,1,0.666,114406,Das Album zum Film,ARULHKI1187B996D8C,,338.797,0,0.08045,170.041,hard house,1,4,0.572,00s
9204,The Velvet Underground,0.498497973,Stephanie Says,1985,0.134,0.29708,0.542,0.29708,170.89261,0.256,0.750621598,0,0.491,37.15735675,"New York, NY",-63.93335787,-15.591,1,0.609,241409,The Velvet Underground Story 2CD Set,ARVO2N31187FB4CD82,0.782868999,162.482,0.505,0.29708,112.48,experimental rock,1,4,0,80s
9205,The Disposable Heroes Of Hiphoprisy,0.345637314,Music And Politics,1992,0.628,0.07356,0.571,0.07356,241.52771,4.18,0.541611591,2,0.057,37.27188,"San Fransisco, CA",-119.27023,-18.454,1,0.15,205,Hypocrisy Is The Greatest Luxury,ARTOXOB1187B9B78C1,0.508984608,217.13,0.314,0.07356,108.616,hip hop,1,4,0.876,90s
9208,KT Tunstall,0.58985618,Under The Weather,2004,0.083,0.19561,0.463,0.19561,216.5024,0,0.793708084,7,0,37.15735675,Scotland,-63.93335787,-9.911,1,0.286,21604,Eye To The Telescope,ARV3Z2I1187FB3E0BF,0.694453546,205.752,0,0.19561,142.121,folk-pop,0.999761965,3,0.661,00s
9215,Gertrudis,0.344814469,Carita De Rosa,2003,0.054,0.15875,0.801,0.15875,233.27302,0.073,0.444926413,9,0.586,37.15735675,Not available,-63.93335787,-5.92,0,0.551,137257,Teta,ARG17O11187FB4A8DA,0.377531645,229.75,0.515,0.15875,208.002,big beat,0.956568016,4,0.636,00s
9217,The Distillers,0.488536125,World Comes Tumblin' Down,2000,0.306,0.55539,0.579,0.21634,188.21179,0,0.681090692,7,1,37.16793,"L.A 	California, Estados Unidos ",-95.84502,-5.008,1,0.821,205356,The Distillers,AR4SBWX1187FB4D6BE,0.606816327,188.212,0.442,0.0464,178.142,grunge,0.980946877,4,0,00s
9220,Gorillaz,0.605191153,All Alone (Live),2005,0.018,1.01921,0.907,0.20952,219.37587,2.27,0.775086058,7,0.512,37.15735675,Not available,-63.93335787,-7.36,1,0.581,20699,Dirty Harry,ARNWZ1N1187B9B71BA,0.516121856,209.874,0.729,0.20952,148,hip hop,1,4,0.463,00s
9224,Phil Collins,0.578301634,Please Come Out Tonight,1993,0.369,1.33313,0.414,0.67313,346.5922,0.293,0.655921418,3,0.778,37.15735675,"Chiswick, London, England",-63.93335787,-15.018,1,0.769,40838,Both Sides,ARFWLXM1187B9B5EE5,,339.336,0.838,0.34123,89.921,soft rock,1,4,0.473,90s
9226,Bon Jovi / Ray Davies,0.718891456,Celluloid Heroes,2002,0.211,1.56214,0.396,0.66065,336.84853,4.377,0.839297678,6,0.896,37.15735675,"Sayreville, NJ",-63.93335787,-5.158,1,0.688,343181,Misunderstood,ARM7EDF1187B9B3FA1,,323.715,0.126,0.44473,130.281,rock,1,4,0.283,00s
9227,Timo Maas,0.396619566,First Day (Album version),2005,0.001,1.12374,1,0.16211,232.38485,0.142,0.691973119,11,0.175,37.15735675,Not available,-63.93335787,-5.797,0,0.539,16695,Pictures,ARVPLEV1187B9AEBF1,0.488289876,229.756,1,0.16211,124.995,progressive house,0.982258708,4,1,00s
9235,Placebo,0.586433379,Every You Every Me (Infected By The Scourge Of The Earth),1999,0.087,0.7505,0.643,0.31457,237.94893,2.995,0.804523521,10,0.707,37.15735675,"London, England",-63.93335787,-6.519,1,0.449,347,Every You Every Me,AR6LZB61187B9AF431,,222.314,0.151,0.09661,136.957,british pop,0.999766449,4,1,90s
9240,brokeNCYDE,0.43413714,Freaxxx,2008,0.049,1.02527,0.299,0.52001,214.9873,2.31,0.867951193,1,0.66,37.15735675,"ALBUCRAZY, NEW MEXICO",-63.93335787,-11.588,1,0.5,667479,BC 13-EP,ARHAUVU122BCFCBA38,0.682112971,207.337,0.274,0.52001,119.612,pop rap,1,4,0.432,00s
9241,Xzibit,0.550212244,Loud & Clear (featuring Defari_ King T & Butch Cassidy),2000,0.414,1.82932,0.721,0.572,213.78567,0,0.747556581,10,0.3,37.15735675,Los Angeles CA,-63.93335787,-6.065,0,0.336,283789,Restless,ARUMACB11F50C4F599,0.480934213,204.614,0.778,0.25226,96.57,gangster rap,0.946590729,4,0.987,00s
9243,Jimmy Page,0.424940331,Writes Of Winter,1988,0.042,0.54715,0,0.54715,207.72526,0.348,0.731822219,9,0.952,51.4855,"Heston, Middlesex, England",-0.37196,-9.727,1,0.682,47590,Outrider,ARUQILG12454A52DCB,0.574279877,195.663,0.262,0.11387,81.982,british blues,0.94248626,4,0,80s
9247,Novaspace,0.372307464,Dancing With Tears In My Eyes 2004 (Nova Mix (Club Version)),2004,1,0.41431,1,0.41431,389.61587,0.392,0.688040857,11,0.867,37.15735675,"Berlin, Germany",-63.93335787,-7.915,0,0.562,58816,Dancing With Tears In My Eyes 2004,AR7PIQ01187FB49737,0.266955186,383.158,1,0.20231,139.991,trance,1,1,0.098,00s
9248,Joe Rogan,0.379222861,Fear Factor (Shiny Happy Jihad),2007,0.043,20.79169,0.684,1.30957,183.97995,2.728,0.510993042,10,0.005,40.73197,"Newark, NJ",-74.17418,-9.689,0,0.14,72446,Shiny Happy Jihad,ARCPD4X1187FB4A18F,0.533155192,181.563,0.533,0.40929,58.165,comedy,0.82150099,4,0.604,00s
9249,Steel Pulse,0.502974636,Man No Sober (LP Version),1982,0.578,0.42977,0.67,0.42977,266.05669,0,0.698452539,11,1,37.15735675,"Birmingham, England",-63.93335787,-10.762,0,1,62232,True Democracy,ARMDWND1187B9AEBE2,0.591291373,253.527,0.838,0.2461,153.264,roots reggae,1,4,0,80s
9251,Phil Vassar,0.504855154,Like I Never Loved Before,2000,0.122,0.89346,0.657,0.40142,265.24689,0.451,0.704994472,9,0.936,37.15735675,"Lynchburg, VA",-63.93335787,-8.387,1,0.742,295332,Phil Vassar,ARYYGRP1187B9A4719,0.512253654,256.023,0.368,0.40142,131.458,country rock,0.917000712,3,0.547,00s
9257,Crematorium,0.305093198,Dying Under A Binary Star,2005,0.415,1.89422,0.473,0.47267,198.26893,0,0.548674175,6,0,37.15735675,Not available,-63.93335787,-5.428,0,0.221,633211,The Process of Endtime,AR9NA2I1187FB531B3,0.334706549,195.454,0.468,0.11443,84.913,death core,1,4,0.474,00s
9260,Cocoa Tea,0.426009301,Hurry Up And Come,2008,0.174,0.40127,0.352,0.02901,225.54077,0,0.595645309,4,0.78,37.15735675,"Kingston, Jamaica",-63.93335787,-5.75,1,0.457,700068,Israel's King,ARGYA2F1187FB41EA4,0,218.622,0.702,0.02901,160.022,dancehall,0.962247474,4,0.291,00s
9262,Tha Liks,0,Da Da Da Da,2001,0.127,1.06934,0.467,0.41174,294.13832,0,0.536655656,1,0.527,37.15735675,Not available,-63.93335787,-4.603,1,0.384,287223,X.O. Experience,ARLMHFV1187B9A3833,,288.322,0.122,0.19218,93.328,los angeles,0.864452172,4,1,00s
9267,Najoua Belyzel,0,Ma vie n'est pas la tienne (album),2009,0,1.23853,1,0.17612,237.71383,0.131,0.58078835,6,0,37.15735675,Nancy,-63.93335787,-7.881,0,0.075,679132,Au FA(c)minin,ARWYYZP1187FB4FDB7,0.471578248,229.959,1,0.17612,112.965,europop,0.876518278,4,0.542,00s
9270,Jennifer Lopez,0.560912657,I'm Glad,2002,0.117,0.9406,0,0.30627,224.39138,2.972,0.877119424,5,0.673,37.15735675,"The Bronx, New York",-63.93335787,-5.229,0,0.595,290244,I'm Glad,ARKSZW81187B9B695D,,212.213,0.112,0.30627,93.95,dance pop,1,4,0.132,00s
9273,Bobby Darin,0.469425908,"Theme From ""Come September"" (LP Version)",2003,0.012,0.11542,0.986,0.11542,155.6371,0.322,0.70441147,0,0.118,40.85715,"New York, NY [The Bronx]",-73.85678,-15.437,1,0.468,138028,Things & Other Things,ARHR0EQ1187FB3EAEE,0.38293509,146.204,1,0.11542,108.462,brill building pop,1,4,0.732,00s
9274,Seventh Day Slumber,0.509243099,Famous One,2009,0.321,0.85543,0.909,0.35227,265.82159,0.127,0.609181992,5,0.558,37.15735675,Not available,-63.93335787,-5.742,1,0.606,400019,Take Everything,AR9RYZP1187FB36C6A,0.635630038,261.05,0.63,0.18538,118.62,christian rock,0.926219624,4,0.85,00s
9275,David Rose & His Orchestra,0.305024582,One Love,2004,0.035,0.27949,0.805,0.27949,179.98322,0,0.369354253,10,0.227,37.15735675,Not available,-63.93335787,-16.877,1,0.259,577075,In A Mellow Mood,ARQU1Q51187B9923B6,0,165.837,0.176,0.27949,84.688,orchestra,1,4,1,00s
9280,Les Rythmes Digitales feat. Nik Kershaw,0.376066362,Sometimes,1999,0.138,1.19085,0.94,0.2211,297.45587,0.206,0.590816514,2,0.011,48.85692,"Paris, France",2.34121,-4.249,1,0.311,59548,Off The Wall - Ten Years of Wall of Sound,ARVNR9N1187B9B88A7,0.699913603,292.659,1,0.2211,123.829,big beat,0.931986653,4,0.395,90s
9281,Firehouse,0.434976032,Talk Of The Town,1992,0.131,0.61911,0.817,0.11645,278.12526,0,0.65103938,1,0.633,37.15735675,Wisconsin,-63.93335787,-7.352,1,0.634,282908,Hold Your Fire,ARDVZTE1187FB5A0A1,,275.615,0.933,0.11645,119.423,glam metal,0.849958662,4,1,90s
9282,Samy Deluxe,0.393457111,Denk,2004,0.058,0.27457,0.383,0.27457,237.19138,0.275,0.70549178,1,0.658,37.15735675,Not available,-63.93335787,-5.129,0,0.462,109905,Verdammtnochma!,ARKD6181187FB3CDA3,0.521659258,233.529,0.383,0.27457,164.041,hip hop,1,4,0.919,00s
9286,Daniel Johnston,0.473613189,The Story Of An Artist,1982,0.186,0.65704,1,0.04954,296.54159,0.317,0.713322147,0,0.718,37.15735675,"Sacramento, CA",-63.93335787,-12.162,1,0.854,813767,The Late Great Daniel Johnston: Discovered Covered,AR3G8271187B989BEE,,293.402,0.889,0.04954,106.927,power pop,0.987541562,4,0.395,80s
9289,Casiotone For The Painfully Alone,0.394217199,Attic Room,2003,0.367,0.52152,0.804,0.52152,188.94322,0,0.665322162,7,0.698,37.15735675,Not available,-63.93335787,-7.549,1,0.715,234413,Twinkle Echo,AREX9GE1187FB41987,0.639248489,183.542,0,0.22285,99.077,trip hop,0.877629027,4,1,00s
9290,Will Ackerman,0.387081085,A Movie Of A Placid Lake On A Moonless Night in September,1992,0.675,0.04694,0.859,0.04694,384.60036,0.334,0.564333839,1,0.231,51.16418,Germany,10.45415,-18.891,0,0.406,296868,The Opening Of Doors,ARBSLZ11187FB42ACF,0.334706549,365.209,0.655,0.04694,92.331,chamber jazz,1,4,0.218,90s
9292,The Prodigy,0.601436483,Firestarter,1996,0.148,0.13465,0.206,0.13465,225.09669,0,0.638614023,4,0.437,37.15735675,"Braintree, Essex, England",-63.93335787,-6.504,0,0.397,281047,Put Your Hands Up! 4,ARZHZSA1187B988D1C,0.829983257,225.097,0.007,0.13465,94.234,hardcore techno,0.999816813,5,1,90s
9294,Phil Collins,0.584836889,Testify,2002,0.011,1.06883,0,0.3637,392.82893,1.031,0.814506224,1,0,37.15735675,"Chiswick, London, England",-63.93335787,-5.295,1,0,1792,Love Songs,ARFWLXM1187B9B5EE5,,381.991,0.478,0.1873,85.083,soft rock,1,4,0.824,00s
9296,Adam Ant,0.454231157,Mohair Locker Room Pin-Up Boys,1998,0.028,1.0467,1,0.31403,226.5073,0.117,0.630382334,0,0.258,37.15735675,"London, England",-63.93335787,-12.108,1,0.367,588902,Ants Remastered Boxset,AR4R0741187FB39AF2,,223.527,1,0.31403,82.048,pop rock,0.988583863,4,0.569,90s
9297,Total Fucking Destruction,0.443245313,Enslaved By Propaganda,2007,0.06,0.4904,0.474,0.14933,132.17914,0,0.510691872,0,0.321,40.99471,Pennsylvania,-77.60454,-5.021,1,0.269,780952,Zen And The Art Of Total Fucking Destruction,ARGMLDN11EBCD78F8A,,132.179,0,0.14933,178.249,experimental rock,0.898865075,4,0,00s
9299,Tresenlesen,0.215021295,RA1/4lpsen Sie Eine Hauptstadt,1995,0.624,0.56414,0.624,0.56414,513.61914,0,0.298409678,9,0.185,37.15735675,Not available,-63.93335787,-9.31,0,0.257,758046,GA1/4nther,AR352MK1187B98E11B,0,510.108,0.742,0.23764,111.756,comedy,1,1,0.727,90s
9303,Funeral For A Friend,0.593473085,All Hands On Deck part 2: Open Water [Album Version],2007,0.174,1.4334,0.64,0.75465,228.64934,0,0.7788309,1,0.722,37.15735675,Wales,-63.93335787,-3.131,1,0.701,105448,Tales Don't Tell Themselves,ARWR6RK1187FB3AB52,,220.648,0.211,0.41445,90.098,post-hardcore,0.999214993,4,1,00s
9306,Gary Go,0.45195769,Open Arms,2009,0.102,0.88991,1,0.22458,217.86077,0.177,0.665964145,0,0.599,37.15735675,Not available,-63.93335787,-4.182,1,0.574,556794,Pacha Ibiza,ARZBORC1269FCD6060,,214.721,1,0.22458,159.164,british pop,0.877332806,5,1,00s
9308,Hot Club Of Cowtown,0.389847527,The Magic Violin,2009,0.616,0.43186,0.616,0.43186,163.10812,0,0.551427307,11,0.707,-37.90019,Hughesdale Victoria Australia,145.08084,-9.68,0,0.693,455699,Wishful Thinking,ARUOP3V1187B9A031A,0.375984302,163.108,0.48,0.43186,148.077,western swing,1,1,0,00s
9310,He Is Legend,0.505012392,Stampede,2006,0.029,1.81866,0.592,0.59596,207.12444,0.077,0.744873719,7,0.517,34.23497,"Wilmington, NC",-77.94599,-6.808,1,0.51,45048,Suck Out The Poison,ARX08ZS1187B9A814B,,207.124,0.542,0.13713,97.969,southern rock,0.936602981,4,0.542,00s
9313,Cece Winans,0.540832552,Come On Back Home,1998,0.217,1.19034,0.674,0.56557,248.2673,0.212,0.637772159,0,0.104,35.2225,"Charlotte, NC",-80.83754,-8.19,0,0.297,514111,Everlasting Love,ARXJJSN1187B98CB37,0.270775999,232.2,1,0.25463,95.997,ccm,1,3,1,90s
9314,Kitaro,0.459387425,Earth Born,1983,0.287,5.30078,0,2.35204,173.45261,2.043,0.668087296,4,0.458,37.15735675,"Toyohashi, Japan",-63.93335787,-30.712,0,0.441,816059,Live in Asia,ARI4S0E1187B9B06C0,0.553778846,160.932,0,1.98344,81.623,chill-out,0.810626342,5,0.718,80s
9320,PATSY CLINE & WILLIE NELSON,0.468511467,Life's Railway To Heaven,1991,0.017,0.46245,0.253,0.46245,175.41179,0,0.656727793,2,0.082,37.15735675,"Gore, VA",-63.93335787,-6.939,1,0.445,274696,Rhinestone Cowboy,AR88F5X1187FB3EA17,,166.15,0.716,0.05918,98.988,country rock,0.991567722,4,0.125,90s
9322,Sandi Thom,0.405031298,I Wish I Was A Punk Rocker (With Flowers In My Hair),2006,0.033,0.8455,1,0.35638,425.19465,0.583,0.655359115,11,0.647,56.65286,Scotland,-3.99667,-4.163,0,0.605,308610,I Wish I Was A Punk Rocker (With Flowers In My Hair),ARCJKV91187FB46210,,420.328,1,0.11059,121.982,british pop,0.912323738,4,0.971,00s
9323,Behemoth,0.550422825,Hello Space Boy,2000,0.055,0.1764,0.914,0.1764,209.05751,0.311,0.84219335,5,0.38,37.15735675,POLAND,-63.93335787,-4.159,1,0.47,163978,Thelema 6,AR5Z3L01187B99C5A9,0.561164085,197.045,0.663,0.1764,156.758,black metal,0.999934256,4,0.417,00s
9325,Bobby Pulido,0.426851853,La Bruja Chafa,1999,0.859,0.20426,0.859,0.20426,182.80444,0.311,0.575844757,2,0.672,26.30116,"Edinburg, TX",-98.1607,-9.039,1,0.524,158342,El Cazador,ARLNZDA122988EDC3E,0,171.828,0.975,0.03676,179.318,tejano,1,1,0,90s
9331,Marc Shaiman,0.378442737,Best In LA,2008,0.33,2.06059,0.755,0.41239,81.18812,3.698,0.510010871,5,0.049,37.15735675,Not available,-63.93335787,-25.359,0,0.45,190811,The Bucket List,ARU52PB1187FB58E46,,71.425,0.082,0.41239,69.919,soundtrack,1,3,1,00s
9332,Alice Cooper,0.607792752,Goin' To The River,1982,0.048,1.06033,0.576,0.19521,210.54649,0,0.838924311,11,0.563,42.33168,"Detroit, MI",-83.04792,-10.992,0,0.369,572197,Live! (Digitally Remastered),AREGV3K1187B9AF614,,200.806,0.267,0.0515,140.456,shock rock,0.924687772,4,0,80s
9336,bel canto,0.368252039,Rumour (Abstract Hip Hop Mix),1996,0.006,1.60894,0.429,0.44816,78.49751,0.113,0.572338427,7,0.136,69.65102,"Tromso, Norway",18.95574,-17.795,1,0.471,203228,Magic Box,ARBHH1V1187B9AD2EC,0.345802234,73.985,0.46,0.16395,106.936,trip hop,0.87225507,4,1,90s
9337,The Distillers,0.488536125,Coral Fang (Album Version),2003,0.027,1.68645,0.488,0.41893,129.59302,0,0.681090692,9,0.078,37.16793,"L.A 	California, Estados Unidos ",-95.84502,-3.698,0,0.455,7851,Coral Fang,AR4SBWX1187FB4D6BE,0.360370583,120.076,0.997,0.10034,95.075,grunge,0.980946877,7,0.573,00s
9339,Remy Shand,0.364191244,The Second One,2002,0.031,0.70244,0.708,0.35668,250.77506,0,0.537849447,10,0.46,37.15735675,Not available,-63.93335787,-6.188,0,0.558,345794,The Way I Feel,AR5JPWN1187FB5B6DE,,246.404,0.438,0.35668,177.963,neo soul,0.931802902,4,0.917,00s
9341,Elakelaiset,0.405143447,Laakista humppa,1995,0.393,0.42875,0.393,0.42875,67.3171,0,0.508440336,9,0.768,37.15735675,Not available,-63.93335787,-2.421,0,0.594,179978,Humppakonsertto,ARA5I7O1187FB3BBF7,,67.317,0.04,0.16492,116.338,parody,0.997904459,1,0,90s
9346,Arc Angels,0.349366361,See What Tomorrow Brings,1992,0.427,1.03222,0.924,0.5552,386.79465,0.173,0.588932086,8,0.37,37.15735675,"Austin, TX",-63.93335787,-10.118,1,0.363,309890,Arc Angels,AR9JHWT1187B98C93B,0.473346541,374.015,0,0.31669,125.787,blues-rock,1,3,0.988,90s
9347,Call To Preserve,0.423976264,Hindsight,2008,0.206,0.36819,0,0.07785,44.30322,0,0.634764556,5,0.368,28.33268,"Rockledge, Florida",-80.73486,-2.03,0,0.441,771318,From Isolation,AR1OC1T1187B9AA161,0.499664862,40.316,0.463,0.07785,208.167,straight edge,0.964375801,4,0,00s
9349,Heaven 17,0.461558452,I'm Your Money (12'' Extended Version) (2006 Digital Remaster),1981,0.01,0.76447,1,0.269,311.43138,0.228,0.630928608,7,0.028,51.50632,"London, England",-0.12714,-9.796,1,0.508,44925,Penthouse And Pavement,ARXQBR11187B98A2CC,,299.125,1,0.03238,122.267,new romantic,0.832842044,4,0.448,80s
9350,Lit,0.491835806,Lovely Day,1999,0.033,1.20968,0.338,0.30426,246.80444,0,0.760152293,10,0.573,33.6671,"Orange County, CA",-117.76505,-3.93,1,0.463,295538,A Place In The Sun,AR57HKP1187FB5BF75,0.721487046,231.631,0.488,0.07725,135.021,post-grunge,1,4,0.365,90s
9351,Ai Ai Ai,0.261981713,Com Una Flama,1994,0.115,1.06185,0,0.41398,253.98812,2.374,0.467411428,5,0.371,37.15735675,Not available,-63.93335787,-12.896,0,0.264,557711,Neguits_ Angunies I Forats,ARLTMAG11F50C4E4FB,,247.333,0.208,0.088,91.97,rumba,1,4,0.082,90s
9355,The Cardigans,0.528302262,Explode,1998,0.056,1.22053,0.873,0.26783,274.05016,0.125,0.749876367,5,0.363,37.15735675,"Ji?1/2ping, Sweden",-63.93335787,-6.848,1,0.429,311363,I Need Some Fine Wine And You_ You Need To Be Nicer,ARFNTFF1187FB38AB5,,268.22,0.243,0.26783,124.013,twee pop,0.946316111,4,1,90s
9356,Charly Garcia,0.440370731,Tango,2003,0.032,1.40567,0.08,0.4246,162.71628,0,0.620027189,7,0.018,37.15735675,Not available,-63.93335787,-10.257,0,0.342,29458,Rock And Roll Yo,ARX56SC1187B9BA075,0.401486711,162.716,0,0.18005,126.948,pop rock,0.980514633,4,0.631,00s
9357,Pictures of Then,0.273643479,When It Stings,2009,0.023,0.68846,0.738,0.31979,182.83057,0,0.535473243,4,0.784,46.44231,Minnesota,-93.36586,-6.865,1,0.535,731936,And The Wicked Sea,ARWXX4A1187FB5BE6E,,176.286,0.781,0.13591,163.959,experimental rock,0.811679528,4,0.249,00s
9359,Janet Jackson Featuring Kanye West,0.568201422,My Baby (Feat. Kanye West),2004,0.028,0.59122,0.821,0.27704,257.14893,0,0.881694731,2,0.569,37.15735675,Los Angeles &amp; New York,-63.93335787,-6.946,0,0.569,43052,Damita Jo,AR5DC8S1187B9958BE,0.634481618,250.329,0.926,0.12034,191.406,dance pop,1,4,0.575,00s
9361,Schoolyard Heroes,0.370725818,The Last Man On Earth,2007,0,1.20897,0.959,0.18065,202.00444,0.096,0.616752865,0,0.728,37.15735675,"Seattle, WA",-63.93335787,-12.826,1,0.592,191749,Abominations,ARU95DC1187FB4C866,0.462379946,191.263,0.854,0.18065,117.58,horror punk,0.968862401,4,0.583,00s
9362,Bruno Sanfilippo,0.37190048,The Flight of the serpentarius,1991,0.228,1.88227,0.58,0.23994,291.082,2.403,0.540971095,7,0.004,-34.60852,Buenos Aires,-58.37354,-23.779,0,0.301,80910,Sons of the Light,ARZ185I1187FB5B8C5,,281.995,0.087,0.23994,146.008,chill-out,0.888990889,5,0.807,90s
